"Rk,Player,SCA,SCA90,PassLive,PassDead,Drib,Sh,GCA,GCA90,PassLive,PassDead,Drib,Sh"
"275,Ruben Loftus-Cheek\e97fd090,1,1.50,1,0,0,0,0,0.00,0,0,0,0"
"276,Ruben Loftus-Cheek\e97fd090,53,2.50,30,0,7,3,0,0.00,0,0,0,0"
"277,Kevin Long\5a4280b1,0,0.00,0,0,0,0,0,0.00,0,0,0,0"
"278,Shane Long\9f472354,0,0.00,0,0,0,0,0,0.00,0,0,0,0"
"279,Matthew Longstaff\c0027d2d,2,0.48,2,0,0,0,0,0.00,0,0,0,0"
"280,Sean Longstaff\a2b105e0,21,1.34,12,5,1,0,2,0.13,2,0,0,0"
"281,Ademola Lookman\7c104bb7,115,3.77,74,25,5,6,11,0.36,6,3,2,0"
"282,Max Lowe\7af88b33,7,1.15,4,1,1,1,0,0.00,0,0,0,0"
"283,Matthew Lowton\9a9c05db,49,1.44,41,3,1,1,2,0.06,2,0,0,0"
"284,David Luiz\c0e27d1a,10,0.64,8,0,1,0,1,0.06,1,0,0,0"
